Time;Iterations;warmUp
0:00:01;0;true
0:00:02;2;1881.786091;true
0:00:03;5;2846.527749;true
0:00:04;10;1988.873681;true
0:00:05;15;1634.3979;true
0:00:06;23;5969.90149;true
0:00:07;31;6926.68063;true
0:00:08;39;2854.887111;true
0:00:09;50;2525.373266;true
0:00:10;56;9925.636763;true
0:00:11;62;10946.082067;true
0:00:12;69;11922.592963;true
0:00:13;76;5294.705664;true
0:00:14;84;5564.460923;true
0:00:15;90;5840.586704;true
0:00:16;96;5854.264773;true
0:00:17;101;5979.581956;true
0:00:18;108;6028.681661;true
0:00:19;113;19043.806345;true
0:00:20;120;20022.12651;true
0:00:21;124;20847.023496;true
0:00:22;134;8678.296609;true
0:00:23;142;8319.758945;true
0:00:24;148;8649.1959;true
0:00:25;159;7654.788867;true
0:00:26;168;7067.084325;true
0:00:27;179;6132.751058;true
0:00:28;186;28060.232303;true
0:00:29;199;7615.983766;true
0:00:30;212;7518.546475;true
0:00:01;0;6804.375614;false
0:00:02;0;7019.756131;false
0:00:03;0;6840.838527;false
0:00:04;0;6829.823153;false
0:00:05;0;36442.684907;false
0:00:06;0;37547.687942;false
0:00:07;0;9279.892277;false
0:00:08;0;9516.016805;false
0:00:09;6;9432.025246;false
0:00:10;17;9237.076412;false
0:00:11;25;9416.108474;false
0:00:12;34;9536.672569;false
0:00:13;43;9451.720557;false
0:00:14;51;9716.018782;false
0:00:15;61;9685.778315;false
0:00:17;67;47657.867217;false
0:00:18;71;10257.015867;false
0:00:19;84;9966.998604;false
0:00:20;94;10010.869904;false
0:00:21;107;9640.306692;false
0:00:22;119;9337.245273;false
0:00:23;130;9035.194213;false
0:00:24;140;8789.177492;false
0:00:25;152;8419.65532;false
0:00:26;161;8780.377433;false
0:00:27;173;8759.236712;false
0:00:28;180;9191.292706;false
0:00:29;187;9573.553269;false
0:00:30;199;9562.61;false
0:00:31;214;9297.603036;false
0:00:32;220;9812.303309;false
0:00:33;229;10115.579109;false
0:00:34;242;9776.646634;false
0:00:35;257;9407.651944;false
0:00:36;270;9214.594555;false
0:00:37;283;8518.406496;false
0:00:38;301;7815.010437;false
0:00:39;315;7688.005132;false
0:00:40;327;6910.656236;false
0:00:41;339;7248.509411;false
0:00:42;352;7237.500528;false
0:00:43;361;7602.912014;false
0:00:44;370;7877.17984;false
0:00:45;384;7950.263349;false
0:00:46;401;7937.334126;false
0:00:47;415;7930.032785;false
0:00:48;423;8475.741665;false
0:00:49;434;8294.418933;false
0:00:50;446;8515.498171;false
0:00:51;456;8568.31279;false
0:00:52;470;7920.467625;false
0:00:53;482;8084.088553;false
0:00:54;492;8439.699871;false
0:00:55;507;8713.112769;false
0:00:56;519;8374.370676;false
0:00:57;532;8081.959747;false
0:00:58;543;8110.99553;false
0:00:59;554;8049.430995;false
0:01:00;564;8419.208341;false
0:01:01;578;8493.658492;false
0:01:02;589;8341.493916;false
0:01:03;599;8732.684449;false
0:01:04;608;9075.451974;false
0:01:05;615;9275.457974;false
0:01:06;625;9732.626545;false
0:01:07;633;10073.935836;false
0:01:08;642;10150.563169;false
0:01:09;653;10250.083833;false
0:01:10;668;9839.677219;false
0:01:11;683;9645.606301;false
0:01:12;695;9329.781746;false
0:01:13;709;8773.374698;false
0:01:14;725;7921.050675;false
0:01:15;739;7317.368115;false
0:01:16;750;7178.911872;false
0:01:17;763;7288.977143;false
0:01:18;773;7548.609714;false
0:01:19;781;8069.81175;false
0:01:20;790;8397.187319;false
0:01:21;800;8584.779994;false
0:01:22;807;9059.78311;false
0:01:23;814;9629.995043;false
0:01:24;822;10002.959757;false
0:01:25;831;10613.683173;false
0:01:26;838;10989.199114;false
0:01:27;851;10919.345241;false
0:01:28;863;11012.912056;false
0:01:29;876;10750.047522;false
0:01:30;889;10066.012536;false
0:01:31;897;10349.94791;false
0:01:32;906;9951.932724;false
0:01:33;915;9891.94036;false
0:01:34;924;9797.258577;false
0:01:35;936;9419.072448;false
0:01:36;944;9355.222404;false
0:01:37;957;9589.662122;false
0:01:38;966;9654.353567;false
0:01:39;975;10023.597498;false
0:01:40;988;10134.329633;false
0:01:41;1002;9514.479348;false
0:01:42;1014;9120.310317;false
0:01:43;1026;8909.005994;false
0:01:44;1036;9015.242478;false
0:01:45;1045;8885.853675;false
0:01:46;1052;9440.974507;false
0:01:47;1061;9457.088243;false
0:01:48;1071;9387.919259;false
0:01:49;1083;9366.303297;false
0:01:51;1105;9271.288896;false
0:01:52;1111;9628.891007;false
0:01:53;1117;10156.771682;false
0:01:54;1122;10756.919672;false
0:01:55;1128;11052.285785;false
0:01:56;1136;11416.133255;false
0:01:57;1145;11421.165759;false
0:01:58;1154;11152.102581;false
0:01:59;1163;11175.696569;false
0:02:00;1170;11677.05241;false
0:02:01;1180;11721.210679;false
0:02:02;1188;12278.778902;false
0:02:03;1198;12674.368617;false
0:02:04;1210;12353.223138;false
0:02:05;1218;11813.677265;false
0:02:06;1231;10713.753282;false
0:02:07;1242;10410.565982;false
0:02:08;1249;10476.419714;false
0:02:09;1262;10172.451841;false
0:02:10;1271;9798.31024;false
0:02:11;1281;9843.854931;false
0:02:12;1291;9665.652446;false
0:02:13;1298;9894.109469;false
0:02:14;1306;10251.937764;false
0:02:15;1312;10578.438334;false
0:02:16;1318;10910.33436;false
0:02:17;1330;11095.228055;false
0:02:18;1339;11349.730497;false
0:02:19;1347;11259.802786;false
0:02:20;1357;11272.658726;false
0:02:21;1367;11489.751772;false
0:02:22;1383;10624.286642;false
0:02:23;1394;10506.840427;false
0:02:24;1406;9990.397361;false
0:02:25;1420;8712.095151;false
0:02:26;1431;8871.266881;false
0:02:27;1446;8030.064838;false
0:02:28;1466;7459.723532;false
0:02:29;1476;7772.932095;false
0:02:30;1489;7919.505434;false
0:02:31;1500;7900.885647;false
0:02:32;1511;8112.614048;false
0:02:33;1523;8073.668867;false
0:02:34;1534;8237.842302;false
0:02:35;1544;8462.856717;false
0:02:36;1556;16427.311288;false
0:02:37;1566;8929.710659;false
0:02:38;1579;8713.945696;false
0:02:39;1593;8442.704781;false
0:02:40;1605;8483.001956;false
0:02:41;1615;8562.313077;false
0:02:42;1626;8666.471947;false
0:02:43;1638;8501.720639;false
0:02:45;1655;17077.979519;false
0:02:46;1665;8443.221374;false
0:02:47;1679;8406.217258;false
0:02:48;1691;8574.774672;false
0:02:49;1706;8359.405366;false
0:02:50;1719;8135.979266;false
0:02:51;1729;8055.524072;false
0:02:52;1740;8371.025004;false
0:02:53;1753;8179.3418;false
0:02:54;1764;8017.097669;false
0:02:55;1778;8088.522827;false
0:02:56;1790;8074.998815;false
0:02:57;1806;7944.509434;false
0:02:58;1817;8029.465832;false
0:02:59;1828;8076.516177;false
0:03:00;1843;7716.086435;false
0:03:01;1857;7580.677483;false
0:03:02;1870;7541.893632;false
0:03:03;1881;7668.200419;false
0:03:04;1898;7837.38192;false
0:03:05;1907;8250.059323;false
0:03:06;1917;8346.512764;false
0:03:07;1929;8327.460143;false
0:03:08;1942;8573.312817;false
0:03:09;1953;16425.034459;false
0:03:10;1966;8723.467847;false
0:03:11;1976;8946.961532;false
0:03:12;1993;8443.896727;false
0:03:13;2003;8526.679159;false
0:03:14;2018;7873.819446;false
0:03:15;2030;7866.093868;false
0:03:16;2043;7910.53988;false
0:03:17;2053;7977.754558;false
0:03:18;2063;8212.269306;false
0:03:19;2077;7869.226005;false
0:03:20;2088;8173.420634;false
0:03:21;2102;8029.518997;false
0:03:22;2116;8038.467971;false
0:03:23;2130;7926.323763;false
0:03:24;2142;8039.792118;false
0:03:25;2157;7522.399169;false
0:03:26;2168;7613.313501;false
0:03:27;2180;7615.236888;false
0:03:28;2194;7535.387426;false
0:03:30;2213;7773.17685;false
0:03:31;2230;7918.691509;false
0:03:32;2239;8029.803503;false
0:03:33;2249;8480.839562;false
0:03:34;2261;8624.398521;false
0:03:35;2269;8840.239346;false
0:03:36;2279;8971.241651;false
